filename,tile_id,mse
tile_25792_mse_0.004933.png,25792,0.004933
tile_51658_mse_0.004917.png,51658,0.004917
tile_26269_mse_0.004904.png,26269,0.004904
tile_53780_mse_0.004903.png,53780,0.004903
tile_34311_mse_0.004895.png,34311,0.004895
tile_63842_mse_0.004890.png,63842,0.00489
tile_26301_mse_0.004889.png,26301,0.004889
tile_43833_mse_0.004877.png,43833,0.004877
tile_65167_mse_0.004859.png,65167,0.004859
tile_33740_mse_0.004844.png,33740,0.004844
tile_09103_mse_0.004836.png,9103,0.004836
tile_26503_mse_0.004834.png,26503,0.004834
tile_32750_mse_0.004822.png,32750,0.004822
tile_37951_mse_0.004815.png,37951,0.004815
tile_63856_mse_0.004813.png,63856,0.004813
tile_49481_mse_0.004790.png,49481,0.00479
tile_62885_mse_0.004788.png,62885,0.004788
tile_58398_mse_0.004772.png,58398,0.004772
tile_62161_mse_0.004765.png,62161,0.004765
tile_35080_mse_0.004740.png,35080,0.00474
tile_62911_mse_0.004740.png,62911,0.00474
tile_56962_mse_0.004732.png,56962,0.004732
tile_09624_mse_0.004723.png,9624,0.004723
tile_28822_mse_0.004720.png,28822,0.00472
tile_42387_mse_0.004713.png,42387,0.004713
tile_37152_mse_0.004709.png,37152,0.004709
tile_26336_mse_0.004705.png,26336,0.004705
tile_07263_mse_0.004700.png,7263,0.0047
tile_70005_mse_0.004692.png,70005,0.004692
tile_15504_mse_0.004689.png,15504,0.004689
tile_51125_mse_0.004688.png,51125,0.004688
tile_37134_mse_0.004683.png,37134,0.004683
tile_38173_mse_0.004674.png,38173,0.004674
tile_52983_mse_0.004673.png,52983,0.004673
tile_43506_mse_0.004659.png,43506,0.004659
tile_26518_mse_0.004656.png,26518,0.004656
tile_55728_mse_0.004635.png,55728,0.004635
tile_24106_mse_0.004635.png,24106,0.004635
tile_70006_mse_0.004615.png,70006,0.004615
tile_50862_mse_0.004607.png,50862,0.004607
tile_09385_mse_0.004587.png,9385,0.004587
tile_66555_mse_0.004539.png,66555,0.004539
tile_24721_mse_0.004523.png,24721,0.004523
tile_59041_mse_0.004507.png,59041,0.004507
tile_34372_mse_0.004503.png,34372,0.004503
tile_58600_mse_0.004492.png,58600,0.004492
tile_10306_mse_0.004487.png,10306,0.004487
tile_20625_mse_0.004485.png,20625,0.004485
tile_21807_mse_0.004448.png,21807,0.004448
tile_45264_mse_0.004429.png,45264,0.004429
tile_02162_mse_0.004424.png,2162,0.004424
tile_07694_mse_0.004410.png,7694,0.00441
tile_10294_mse_0.004398.png,10294,0.004398
tile_31583_mse_0.004391.png,31583,0.004391
tile_33355_mse_0.004390.png,33355,0.00439
tile_09082_mse_0.004383.png,9082,0.004383
tile_67894_mse_0.004379.png,67894,0.004379
tile_29953_mse_0.004367.png,29953,0.004367
tile_26330_mse_0.004365.png,26330,0.004365
tile_29409_mse_0.004355.png,29409,0.004355
tile_63894_mse_0.004334.png,63894,0.004334
tile_00192_mse_0.004322.png,192,0.004322
tile_12643_mse_0.004308.png,12643,0.004308
tile_41502_mse_0.004286.png,41502,0.004286
tile_12370_mse_0.004285.png,12370,0.004285
